"colony","hive","cca","date","doy","adult_num_low","adult_num_mean","adult_num_high","honey_kg_low","honey_kg_mean","honey_kg_high","pupae_num_low","pupae_num_mean","pupae_num_high"
"LSCFS_2013_1","I","CCA4",2013-07-18,199,4222.449,1870.551,7963.551,3.850780032,1.858609984,7.568,5843.184,7228.816,20300.816
"LSCFS_2013_1","I","CCA5",2013-08-14,226,7554.393,3346.607,14247.607,3.06312048,1.47843976,6.02,9687.384,11984.616,33656.616
"LSCFS_2013_1","I","CCA5",2013-08-15,227,6895.35,3054.65,13004.65,2.144184336,1.034907832,4.214,8072.82,9987.18,28047.18
"LSCFS_2013_1","I","CCA6",2013-09-10,253,9336.096,4135.904,17607.904,5.776170048,2.787914976,11.352,10148.688,12555.312,35259.312
"LSCFS_2013_1","I","CCA6",2013-09-11,254,7786.548,3449.452,14685.452,7.87659552,3.80170224,15.48,7842.168,9701.832,27245.832
"LSCFS_2013_1","I","CCA7",2013-10-16,289,6546.771,4507.839,15562.449,6.695106192,4.736446904,16.168,2306.52,6993.778,16294.076
"LSCFS_2013_1","I","CCA8",2014-03-22,81,5306.994,3848.828,13004.65,1.018412,3.704794,8.428,2614.056,13517.91,29649.876
"LSCFS_2013_1","J","CCA4",2013-07-17,198,2828.133,1983.48,6795.093,2.669290704,4.083354648,10.836,4689.924,9274.584,23239.092
"LSCFS_2013_1","J","CCA5",2013-08-14,226,4765.068,5837.189,16439.446,0.700141824,3.949929088,8.6,6688.908,14819.434,36327.776
"LSCFS_2013_1","J","CCA6",2013-09-10,253,4338.873,2798.4705,9935.814,5.951205504,3.947397248,13.846,7995.936,11361.202,30718.34
"LSCFS_2013_1","J","CCA7",2013-10-16,289,4106.025,2257.4735,8620.972,5.25106368,4.94246816,15.136,2075.868,3102.364,8280.596
"LSCFS_2013_1","J","CCA8",2014-03-22,81,735.966,8217.0465,17170.059,2.95668,2.99366,8.944,0,13756.474,27512.948
"LSCFS_2013_1","K","CCA4",2013-07-17,198,4493.412,1990.588,8474.588,1.0939716,0.5280142,2.15,8764.776,10843.224,30451.224
"LSCFS_2013_1","K","CCA4",2013-07-18,199,8212.743,3638.257,15489.257,1.925390016,0.929304992,3.784,6996.444,8655.556,24307.556
"LSCFS_2013_1","K","CCA5",2013-08-14,226,3408.867,1510.133,6429.133,3.106879344,1.499560328,6.106,0,0,0
"LSCFS_2013_1","K","CCA5",2013-08-15,227,9413.712,4170.288,17754.288,1.662836832,0.802581584,3.268,7919.052,9796.948,27512.948
"LSCFS_2013_1","K","CCA6",2013-09-10,253,4571.028,2024.972,8620.972,2.100425472,1.013787264,4.128,6842.676,8465.324,23773.324
"LSCFS_2013_1","K","CCA6",2013-09-11,254,5230.071,2316.929,9863.929,4.550921856,2.196539072,8.944,6612.024,8179.976,22971.976
"LSCFS_2013_1","K","CCA7",2013-10-16,289,2363.13,1923.867,6210.864,0.568865232,3.112567384,6.794,1614.564,2130.994,5876.552
"LSCFS_2013_1","L","CCA4",2013-07-17,198,4997.223,2360.161,9717.545,2.012907744,2.906546128,7.826,6073.836,10452.44,26978.716
"LSCFS_2013_1","L","CCA5",2013-08-14,226,4919.607,2837.4675,10594.542,1.837872288,2.091063856,6.02,8072.82,11322.76,30718.34
"LSCFS_2013_1","L","CCA6",2013-09-10,253,4726.26,2203.528,9133.316,6.651347328,4.371326336,15.394,5920.068,13200.484,32321.036
"LSCFS_2013_1","L","CCA7",2013-10-16,289,6237,3310.633,12858.266,9.18936144,4.56431928,18.318,3075.36,5540.894,14157.148
"LSCFS_2013_1","L","CCA8",2014-03-22,81,7437.969,5121.5635,17681.096,3.548016,3.256992,10.062,6612.024,13255.18,33122.384
"LSCFS_2014_1","A","CCA4",2014-07-17,198,11008.305,6613.698,24235.701,19.54392984,12.06303508,43.67,7630.737,11906.427,31443.591
"LSCFS_2014_1","A","CCA5",2014-08-08,220,13226.598,7557.195,28340.988,21.311330004,12.122334998,45.556,7453.278,10300.057,28053.392
