colony,hive,cca,date,doy,adult_num,pupae_num,larvae_num,eggs_num,queen,hive_weight,honey_cells,honey_kg,pollen_cells,pollen_g,mites_per100,mites_num,disease
LSCFS_2013_1,D6,CCA5,2013-08-14,226,13304,28036,7396,4300,1,51,4300,2.15,11008,2531.84,1.39,1849256,1.00E+05
LSCFS_2013_1,D6,CCA6,2013-09-10,253,10733,18748,4472,2408,1,62,33540,16.77,3956,909.88,NA,NA,NA
LSCFS_2013_1,D6,CCA7,2013-10-16,289,2907,2752,1720,1204,1,57.5,25112,12.556,1204,276.92,NA,NA,NA
LSCFS_2013_1,E1,CCA1,2013-05-12,132,6429,9288,4988,4644,1,NA,4988,2.494,1892,435.16,NA,NA,NA
LSCFS_2013_1,E1,CCA2,2013-05-30,150,10397,16684,8428,5504,1,NA,19608,9.804,2752,632.96,NA,NA,NA
LSCFS_2013_1,E1,CCA3,2013-06-23,174,7602,2064,172,1548,1,46.5,20984,10.492,3956,909.88,0.23,174846,0
LSCFS_2013_1,E1,CCA4,2013-07-17,198,6956,15824,8772,4816,1,65,17200,8.6,5332,1226.36,NA,NA,NA
LSCFS_2013_1,E1,CCA5,2013-08-14,226,16602,25628,7396,1376,1,56.5,10320,5.16,9632,2215.36,0.78,1294956,0
LSCFS_2013_1,E1,CCA6,2013-09-10,253,3522,14448,8772,4300,1,50.5,25112,12.556,6880,1582.4,NA,NA,NA
LSCFS_2013_1,E1,CCA7,2013-10-16,289,5087,7052,1548,860,1,42.5,15824,7.912,2064,474.72,NA,NA,NA
LSCFS_2013_1,E1,CCA8,2014-03-22,81,6037,11524,4816,3096,1,39,6192,3.096,6536,1503.28,0.63,380331,0
LSCFS_2013_1,E8,CCA1,2013-05-12,132,4528,9116,5160,5160,1,NA,4644,2.322,5676,1305.48,NA,NA,NA
LSCFS_2013_1,E8,CCA2,2013-05-30,150,8050,19092,6364,4472,1,NA,14964,7.482,3268,751.64,NA,NA,NA
LSCFS_2013_1,E8,CCA3,2013-06-23,174,10733,19264,7224,8084,1,50,11180,5.59,6020,1384.6,0.31,332723,0
LSCFS_2013_1,E8,CCA4,2013-07-17,198,13025,20640,8256,7052,1,65,11352,5.676,9460,2175.8,NA,NA,NA
LSCFS_2013_1,E8,CCA5,2013-08-14,226,14646,24596,9116,4644,1,54,3956,1.978,13072,3006.56,2.26,3309996,0
LSCFS_2013_1,E8,CCA6,2013-09-10,253,13975,21328,7052,4988,1,67,28380,14.19,3784,870.32,NA,NA,NA
LSCFS_2013_1,E8,CCA7,2013-10-16,289,10789,6364,4128,1892,1,60,22704,11.352,3440,791.2,NA,NA,NA
LSCFS_2013_1,E8,CCA8,2014-03-22,81,6149,9632,4472,1892,1,37,5504,2.752,3612,830.76,0.81,498069,0
LSCFS_2013_1,F4,CCA1,2013-05-12,132,4584,9116,4128,4988,1,NA,4300,2.15,2924,672.52,NA,NA,NA
LSCFS_2013_1,F4,CCA2,2013-05-30,150,9112,17544,7396,4300,1,NA,17544,8.772,3096,712.08,NA,NA,NA
LSCFS_2013_1,F4,CCA3,2013-06-23,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2013_1,F4,CCA4,2013-07-17,198,8217,11352,9288,4644,1,65,21156,10.578,5332,1226.36,NA,NA,NA
LSCFS_2013_1,F4,CCA5,2013-08-14,226,14255,20984,7568,5160,1,48,11524,5.762,6536,1503.28,0.63,898065,0
LSCFS_2013_1,F4,CCA6,2013-09-10,253,19565,22188,12384,6880,1,38.5,6708,3.354,6364,1463.72,NA,NA,NA
LSCFS_2013_1,F4,CCA7,2013-10-16,289,3689,3440,3612,1720,1,35,2924,1.462,688,158.24,NA,NA,NA
LSCFS_2013_1,F4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSCFS_2013_1,F7,CCA1,2013-05-12,132,3075,9460,3096,3784,1,NA,1892,0.946,1376,316.48,NA,NA,NA
LSCFS_2013_1,F7,CCA2,2013-05-30,150,8161,16684,7396,4988,1,NA,8428,4.214,3784,870.32,NA,NA,NA
LSCFS_2013_1,F7,CCA3,2013-06-23,174,10509,17716,8256,11352,1,37.5,9288,4.644,1376,316.48,0,0,0
LSCFS_2013_1,F7,CCA4,2013-07-17,198,13919,17888,9976,6880,1,55,8256,4.128,3956,909.88,NA,NA,NA
LSCFS_2013_1,F7,CCA5,2013-08-14,226,12801,22188,7568,5160,1,41.5,4128,2.064,4644,1068.12,0.36,460836,0
LSCFS_2013_1,F7,CCA6,2013-09-10,253,9447,15996,6880,5848,1,38.5,12728,6.364,4300,989,NA,NA,NA
LSCFS_2013_1,F7,CCA7,2013-10-16,289,6149,4988,2752,1892,1,46.5,15136,7.568,2064,474.72,NA,NA,NA
LSCFS_2013_1,F7,CCA8,2014-03-22,81,3410,5504,3440,4988,1,25.5,6708,3.354,1548,356.04,0,0,0
LSCFS_2013_1,G5,CCA1,2013-05-12,132,5031,9460,3784,3096,1,NA,4644,2.322,3440,791.2,NA,NA,NA
LSCFS_2013_1,G5,CCA2,2013-05-30,150,6205,15480,7740,5160,1,NA,7912,3.956,3784,870.32,NA,NA,NA
LSCFS_2013_1,G5,CCA3,2013-06-23,174,6988,19436,8944,5504,1,41.5,7396,3.698,8084,1859.32,0.25,174700,3.00E+05
LSCFS_2013_1,G5,CCA4,2013-07-17,198,11180,24768,8600,2580,1,62,17888,8.944,6880,1582.4,NA,NA,NA
LSCFS_2013_1,G5,CCA5,2013-08-14,226,14310,23564,9116,6880,1,51,6364,3.182,10664,2452.72,1.72,2461320,50000
LSCFS_2013_1,G5,CCA6,2013-09-10,253,11515,25284,8600,8256,1,47,9804,4.902,6192,1424.16,NA,NA,NA
LSCFS_2013_1,G5,CCA7,2013-10-16,289,7770,9804,4644,4644,1,47,8772,4.386,3612,830.76,NA,NA,NA
LSCFS_2013_1,G6,CCA1,2013-05-12,132,4696,6708,4816,3096,1,NA,2924,1.462,2580,593.4,NA,NA,NA
LSCFS_2013_1,G6,CCA2,2013-05-30,150,9224,16340,6880,4988,1,NA,15136,7.568,516,118.68,NA,NA,NA
LSCFS_2013_1,G6,CCA3,2013-06-23,174,6764,20296,6880,172,1,44,12728,6.364,1548,356.04,0.26,175864,0
LSCFS_2013_1,G6,CCA4,2013-07-17,198,2963,0,1032,4300,1,57,23736,11.868,4644,1068.12,NA,NA,NA
LSCFS_2013_1,G6,CCA5,2013-08-14,226,6932,14620,5676,6708,1,51,14792,7.396,5848,1345.04,0,0,50000
LSCFS_2013_1,G6,CCA6,2013-09-10,253,6652,19780,6536,6192,1,49,13072,6.536,4300,989,NA,NA,NA
LSCFS_2013_1,G6,CCA7,2013-10-16,289,4304,4644,3268,2064,1,48,9632,4.816,4988,1147.24,NA,NA,NA
LSCFS_2013_1,G6,CCA8,2014-03-22,81,3578,4988,2408,1548,1,35.5,7052,3.526,3440,791.2,0.32,114496,0
LSCFS_2013_1,H3,CCA2,2013-05-30,150,10118,17544,3096,6020,1,NA,8772,4.386,2924,672.52,NA,NA,NA
LSCFS_2013_1,H3,CCA3,2013-06-23,174,10733,16340,10148,6192,1,41,5160,2.58,4128,949.44,0.53,568849,0
LSCFS_2013_1,H3,CCA4,2013-07-17,198,14143,22360,7912,4816,1,55.5,9632,4.816,3440,791.2,NA,NA,NA
LSCFS_2013_1,H3,CCA5,2013-08-14,226,12913,23220,8600,4128,1,48.5,7912,3.956,8256,1898.88,1.56,2014428,1.00E+05
LSCFS_2013_1,H3,CCA6,2013-09-10,253,9894,19780,4988,2408,1,66,33024,16.512,1376,316.48,NA,NA,NA
LSCFS_2013_1,H3,CCA7,2013-10-16,289,8497,4644,0,0,0,63,31992,15.996,344,79.12,NA,NA,NA
LSCFS_2013_1,H3,CCA8,2014-03-22,81,9615,15480,5848,2236,1,36,3784,1.892,4816,1107.68,0.23,221145,6500000
LSCFS_2013_1,H5,CCA1,2013-05-12,132,3522,7568,4644,5160,1,NA,3784,1.892,3096,712.08,NA,NA,NA
LSCFS_2013_1,H5,CCA2,2013-05-30,150,6429,17200,5848,3612,1,NA,13760,6.88,3956,909.88,NA,NA,NA
