study,colony,cca,date,doy,adult.num,pupae.num,larvae.num,eggs.num,queen,honey.cells,honey.kg,pollen.cells,pollen.g
LSCFS_2013_1,E8,CCA7,10/16/2013,289,10789,6364,4128,1892,1,22704,11.352,3440,791.2
LSCFS_2013_1,E8,CCA8,3/22/2014,81,6149,9632,4472,1892,1,5504,2.752,3612,830.76
LSCFS_2013_1,F4,CCA1,5/12/2013,132,4584,9116,4128,4988,1,4300,2.15,2924,672.52
LSCFS_2013_1,F4,CCA2,5/30/2013,150,9112,17544,7396,4300,1,17544,8.772,3096,712.08
LSCFS_2013_1,F4,CCA4,7/17/2013,198,8217,11352,9288,4644,1,21156,10.578,5332,1226.36
LSCFS_2013_1,F4,CCA5,8/14/2013,226,14255,20984,7568,5160,1,11524,5.762,6536,1503.28
LSCFS_2013_1,F4,CCA6,9/10/2013,253,19565,22188,12384,6880,1,6708,3.354,6364,1463.72
LSCFS_2013_1,F4,CCA7,10/16/2013,289,3689,3440,3612,1720,1,2924,1.462,688,158.24
LSCFS_2013_1,F7,CCA1,5/12/2013,132,3075,9460,3096,3784,1,1892,0.946,1376,316.48
LSCFS_2013_1,F7,CCA2,5/30/2013,150,8161,16684,7396,4988,1,8428,4.214,3784,870.32
LSCFS_2013_1,F7,CCA3,6/23/2013,174,10509,17716,8256,11352,1,9288,4.644,1376,316.48
LSCFS_2013_1,F7,CCA4,7/17/2013,198,13919,17888,9976,6880,1,8256,4.128,3956,909.88
LSCFS_2013_1,F7,CCA5,8/14/2013,226,12801,22188,7568,5160,1,4128,2.064,4644,1068.12
LSCFS_2013_1,F7,CCA6,9/10/2013,253,9447,15996,6880,5848,1,12728,6.364,4300,989
LSCFS_2013_1,F7,CCA7,10/16/2013,289,6149,4988,2752,1892,1,15136,7.568,2064,474.72
LSCFS_2013_1,F7,CCA8,3/22/2014,81,3410,5504,3440,4988,1,6708,3.354,1548,356.04
LSCFS_2013_1,G5,CCA1,5/12/2013,132,5031,9460,3784,3096,1,4644,2.322,3440,791.2
LSCFS_2013_1,G5,CCA2,5/30/2013,150,6205,15480,7740,5160,1,7912,3.956,3784,870.32
LSCFS_2013_1,G5,CCA3,6/23/2013,174,6988,19436,8944,5504,1,7396,3.698,8084,1859.32
LSCFS_2013_1,G5,CCA4,7/17/2013,198,11180,24768,8600,2580,1,17888,8.944,6880,1582.4
LSCFS_2013_1,G5,CCA5,8/14/2013,226,14310,23564,9116,6880,1,6364,3.182,10664,2452.72
LSCFS_2013_1,G5,CCA6,9/10/2013,253,11515,25284,8600,8256,1,9804,4.902,6192,1424.16
LSCFS_2013_1,G5,CCA7,10/16/2013,289,7770,9804,4644,4644,1,8772,4.386,3612,830.76
LSCFS_2013_1,G6,CCA1,5/12/2013,132,4696,6708,4816,3096,1,2924,1.462,2580,593.4
LSCFS_2013_1,G6,CCA2,5/30/2013,150,9224,16340,6880,4988,1,15136,7.568,516,118.68
